"ID","name","SSURGO_ID"
"179D2","Gara loam, 9 to 14 percent slopes, moderately eroded",407623
"222D2","Clarinda silty clay loam, 9 to 14 percent slopes, moderately eroded",407636
"281B","Otley silty clay loam, 2 to 5 percent slopes",407650
"281C2","Otley silty clay loam, 5 to 9 percent slopes, eroded",407651
"5B","Ackmore-Colo complex, 2 to 5 percent slopes",407671
"76C2","Ladoga silt loam, 5 to 9 percent slopes, eroded",407690
"76D2","Ladoga silt loam, 9 to 14 percent slopes, eroded",407691
"822D2","Lamoni silty clay loam, 9 to 14 percent slopes, moderately eroded",407698
"93D2","Shelby-Adair complex, 9 to 14 percent slopes, moderately eroded",407703
"993D2","Gara-Armstrong loams, 9 to 14 percent slopes, moderately eroded",407707
